Data object,Field name,Data type,Display name (en_US),Sample(s),Description,Alternative wording,Category,Business scenarios,Used as identifier (default csv schema)
AcknowledgementLine,chargeCategory,String,Charge category,,Charge category associated with Acknowledgment line.,,,,
AcknowledgementLine,createdDate,String,Created date,,The date and time that the Acknowledgment line was created.,created: creation|create; date: time|timestamp,,,
AcknowledgementLine,deliveryMethod,String,Delivery method,,Delivery method for the Acknowledgment line.,delivery: delv|receipt|recieved|deliv,,,
AcknowledgementLine,description,String,Description,,Description associated with Acknowledgment line.,,,,
AcknowledgementLine,fulfillmentStatus,String,Fulfillment status,,Fulfillment status of the Acknowledgment line.,,,,
AcknowledgementLine,invoiceLines,InvoiceLinesCursor,Invoice lines,,Reference to the invoice lines associated with the Acknowledgment line.,,,,
AcknowledgementLine,lastModifiedDate,String,Last modified date,,The date and time the Acknowledgment line was last modified in the source system.,last: lst; modified: update|updated; date: time|timestamp,,,
AcknowledgementLine,orderLine,OrderLine,Order line,,Reference to the order line associated with the Acknowledgment line.,order: PO|sale|sold,,,
AcknowledgementLine,paymentTerms,String,Payment terms,,Payment terms associated with Acknowledgment line.,,,,
AcknowledgementLine,paymentType,String,Payment type,,Payment type associated with Acknowledgment line.,,,,
AcknowledgementLine,plannedDeliveryDate,String,Planned delivery date,,The date and time that the Acknowledgment line is planned for delivery.,planned: expected|requested; delivery: delv|receipt|recieved|deliv; date: time|timestamp,,,
AcknowledgementLine,plannedShipDate,String,Planned ship date,,The date and time that fulfillment expects to be sent to the Acknowledgment line.,planned: expected|requested; ship: shipped; date: time|timestamp,,,
AcknowledgementLine,product,Product,Product,,Reference to the product associated with the Acknowledgment line.,product: creation|prod,,,
AcknowledgementLine,productAssociation,ProductAssociation,Product association,,Reference to the product association contained in the acknowledgment line.,product: creation|prod,,,
AcknowledgementLine,productValue,Float,Product value,,Value of the product.,product: creation|prod,,,
AcknowledgementLine,quantity,Float,Quantity,,Number of items associated with Acknowledgment line.,quantity: qty,,,
AcknowledgementLine,quantityUnits,String,Quantity units,,Units of measure from the source system.,quantity: qty,,,
AcknowledgementLine,requestedDeliveryDate,String,Requested delivery date,,The date and time that the buyer requested that the Acknowledgment line is delivered.,requested: expected|planned; delivery: delv|receipt|recieved|deliv; date: time|timestamp,,,
AcknowledgementLine,requestedShipDate,String,Requested ship date,,The date and time that the buyer requested that the Acknowledgment line is sent.,requested: expected|planned; ship: shipped; date: time|timestamp,,,
AcknowledgementLine,shipToLocation,Location,Ship to location,,Reference to the origin location for the Acknowledgment line.,ship: shipped; location: parcel,,,
AcknowledgementLine,shipmentCount,Int,Shipment count,,Count of shipment lines associated with the Acknowledgment line.,shipment: ship,,,
AcknowledgementLine,shipmentLines,ShipmentLinesCursor,Shipment lines,,Reference to the shipment lines that are associated with the Acknowledgment line.,shipment: ship,,,
AcknowledgementLine,status,String,Status,,Status of Acknowledgment line.,,,,
AcknowledgementLine,tax,String,Tax,,Tax associated with Acknowledgment line.,,,,
AcknowledgementLine,taxName,String,Tax name,,Tax name associated with Acknowledgment line.,,,,
AcknowledgementLine,taxPercentage,Float,Tax percentage,,Tax percentage associated with Acknowledgment line.,,,,
AcknowledgementLine,value,Float,Value,,The value of the Acknowledgment line.,,,,
AcknowledgementLine,valueCurrency,String,Value currency,,Currency designation in ISO 4217 format.,,,,
AcknowledgementSubline,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,B2B transaction,,   --------   
AcknowledgementSubline,acknowledgement,Acknowledgement,Acknowledgement,,Reference to the Acknowledgment that contains the Acknowledgment line.,,,,
AcknowledgementSubline,acknowledgementSublineNumber,String,Acknowledgement subline number,,The sequential number of the Acknowledgment subline.,number: num|no.,,,
AcknowledgementSubline,acknowlegmentLine,AcknowledgementLine,Acknowlegment line,,Reference to the Acknowledgment line that contains the Acknowledgment subline.,,,,
AcknowledgementSubline,additionalSortableNumValues,[UniqueNameNumberPair],Additional sortable num values,,,,,,
AcknowledgementSubline,additionalSortableStringValues,[UniqueNameStringPair],Additional sortable string values,,,,,,
AcknowledgementSubline,calculatedNumValue,Float,Calculated num value,,,,,,
AcknowledgementSubline,calculatedStringValue,String,Calculated string value,,,,,,
AcknowledgementSubline,quantity,Float,Quantity,,Quantity of products or materials in the Acknowledgment subline.,quantity: qty,,,
AcknowledgementSubline,quantityUnits,String,Quantity units,,Units of measurement from the source system of Acknowledgment subline.,quantity: qty,,,
AcknowledgementSubline,shipmentSubLines,ShipmentSublinesCursor,Shipment sub lines,,Reference to the shipment sublines associated with the Acknowledgment subline.,shipment: ship,,,
AcknowledgementSubline,subLineRelationship,String,Sub line relationship,,A relationship is found with Acknowledgment subline.,,,,
AcknowledgementSubline,value,Float,Value,,Value of the Acknowledgment subline.,,,,
AcknowledgementSubline,valueCurrency,String,Value currency,,Currency designation in ISO 4217 format.,,,,
InvoiceSubline,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,B2B transaction,,   --------   
InvoiceSubline,additionalSortableNumValues,[UniqueNameNumberPair],Additional sortable num values,,,,,,
InvoiceSubline,additionalSortableStringValues,[UniqueNameStringPair],Additional sortable string values,,,,,,
InvoiceSubline,calculatedNumValue,Float,Calculated num value,,,,,,
InvoiceSubline,calculatedStringValue,String,Calculated string value,,,,,,
InvoiceSubline,invoice,Invoice,Invoice,,Reference to the invoice that contains the Invoice subline.,,,,
InvoiceSubline,invoiceLine,InvoiceLine,Invoice line,,Reference to an invoice line.,,,,
InvoiceSubline,invoiceSublineNumber,String,Invoice subline number,,"Unique, sequential code assigned to the invoice.",number: num|no.,,,
InvoiceSubline,quantity,Float,Quantity,,Quantity of the invoice subline.,quantity: qty,,,
InvoiceSubline,quantityUnits,String,Quantity units,,Units of measurement from the source system of Invoice subline.,quantity: qty,,,
InvoiceSubline,value,Float,Value,,Value of the Invoice subline.,,,,
InvoiceSubline,valueCurrency,String,Value currency,,Currency designation in ISO 4217 format.,,,,
OrderSubline,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,B2B transaction,,   --------   
OrderSubline,additionalSortableNumValues,[UniqueNameNumberPair],Additional sortable num values,,,,,,
OrderSubline,additionalSortableStringValues,[UniqueNameStringPair],Additional sortable string values,,,,,,
OrderSubline,calculatedNumValue,Float,Calculated num value,,,,,,
OrderSubline,calculatedStringValue,String,Calculated string value,,,,,,
OrderSubline,order,Order,Order,,Reference to the order that contains the Order subline.,order: PO|sale|sold,,,
OrderSubline,orderLine,OrderLine,Order line,,Reference to the order line that contains the Order subline.,order: PO|sale|sold,,,
OrderSubline,orderSublineNumber,String,Order subline number,,The sequential number of the Order subline.,order: PO|sale|sold; number: num|no.,,,
OrderSubline,quantity,Float,Quantity,,Quantity of products or materials in the Order subline.,quantity: qty,,,
OrderSubline,quantityUnits,String,Quantity units,,Units of measurement from the source system in Order subline.,quantity: qty,,,
OrderSubline,shipmentSubLines,ShipmentSublinesCursor,Shipment sub lines,,Reference to the shipment sublines associated with the Order subline.,shipment: ship,,,
OrderSubline,subLineRelationship,String,Sub line relationship,,A relationship is found with Order subline.,,,,
OrderSubline,value,Float,Value,,Value of the Order subline.,,,,
OrderSubline,valueCurrency,String,Value currency,,Currency designation in ISO 4217 format.,,,,
PaymentSubline,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,B2B transaction,,   --------   
PaymentSubline,additionalSortableNumValues,[UniqueNameNumberPair],Additional sortable num values,,,,,,
PaymentSubline,additionalSortableStringValues,[UniqueNameStringPair],Additional sortable string values,,,,,,
PaymentSubline,calculatedNumValue,Float,Calculated num value,,,,,,
PaymentSubline,calculatedStringValue,String,Calculated string value,,,,,,
PaymentSubline,payment,Payment,Payment,,Reference to the payment that contains the Payment subline.,,,,
PaymentSubline,paymentLine,PaymentLine,Payment line,,Reference to a Payment subline.,,,,
PaymentSubline,paymentSublineNumber,String,Payment subline number,,Sequential number of the payment subline.,number: num|no.,,,
PaymentSubline,quantity,Float,Quantity,,The number of the shipment subline.,quantity: qty,,,
PaymentSubline,quantityUnits,String,Quantity units,,Units of measurement from the source system in Payment subline.,quantity: qty,,,
PaymentSubline,subLineRelationship,String,Sub line relationship,,A relationship is found with Payment subline.,,,,
PaymentSubline,value,Float,Value,,The value of the payment subline.,,,,
PaymentSubline,valueCurrency,String,Value currency,,Currency designation in ISO 4217 format.,,,,
ShipmentSubline,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,B2B transaction,,   --------   
ShipmentSubline,additionalSortableNumValues,[UniqueNameNumberPair],Additional sortable num values,,,,,,
ShipmentSubline,additionalSortableStringValues,[UniqueNameStringPair],Additional sortable string values,,,,,,
ShipmentSubline,calculatedNumValue,Float,Calculated num value,,,,,,
ShipmentSubline,calculatedStringValue,String,Calculated string value,,,,,,
ShipmentSubline,orderSubline,OrderSubline,Order subline,,Reference to the order line that this shipment line is fulfilling.,order: PO|sale|sold,,,
ShipmentSubline,quantity,Float,Quantity,,Quantity of the Shipment subline.,quantity: qty,,,
ShipmentSubline,quantityUnits,String,Quantity units,,Units of measurement from the source system in Shipment subline.,quantity: qty,,,
ShipmentSubline,shipment,Shipment,Shipment,,Reference to the shipment that contains the Shipment subline.,shipment: ship,,,
ShipmentSubline,shipmentLine,ShipmentLine,Shipment line,,Reference to the shipment line that contains the Shipment subline.,shipment: ship,,,
ShipmentSubline,shipmentSublineNumber,String,Shipment subline number,,Sequential number of the shipment subline.,shipment: ship; number: num|no.,,,
ShipmentSubline,subLineRelationship,String,Sub line relationship,,A relationship is found with Shipment subline.,,,,
ShipmentSubline,value,Float,Value,,Value of the shipment sublines.,,,,
ShipmentSubline,valueCurrency,String,Value currency,,Currency designation in ISO 4217 format.,,,,
Contact,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,Contact,,   --------   
Contact,contactIdentifier,String,Contact identifier,JohnDoeAcme,Unique identifier for the contact.,contact: employee; identifier: id|number|code|num|no.,,,required fields: contactIdentifier
Contact,additionalSortableNumValues,[UniqueNameNumberPair],Additional sortable num values,,,,,,
Contact,additionalSortableStringValues,[UniqueNameStringPair],Additional sortable string values,,,,,,
Contact,calculatedNumValue,Float,Calculated num value,,,,,,
Contact,calculatedStringValue,String,Calculated string value,,,,,,
Contact,emailAddress,String,Email address,John_Doe@acme.com,Email address associated with the contact.,address: address|house|street,,,
Contact,faxNumber,String,Fax number,(987)123-4566,Fax number associated with the contact.,number: num|no.,,,
Contact,firstName,String,First name,Jon,Given name (first name) of the contact.,,,,
Contact,lastName,String,Last name,Doe,Surname (last name) of the contact.,last: lst,,,
Contact,locale,String,Locale,en,Location of the contact.,,,,
Contact,phoneNumber,String,Phone number,(987)123-4566,Phone number associated with the contact.,number: num|no.,,,
ContactAlertSubscriptions,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,Contact,,   --------   
ContactAlertSubscriptions,contact,Contact,Contact,(see object),Primary contact for the alerts.,contact: employee,,,required fields: contact.contactIdentifier
ContactAlertSubscriptions,additionalSortableNumValues,[UniqueNameNumberPair],Additional sortable num values,,,,,,
ContactAlertSubscriptions,additionalSortableStringValues,[UniqueNameStringPair],Additional sortable string values,,,,,,
ContactAlertSubscriptions,calculatedNumValue,Float,Calculated num value,,,,,,
ContactAlertSubscriptions,calculatedStringValue,String,Calculated string value,,,,,,
ContactAlertSubscriptions,subscriptions,[String],Subscriptions,{list of ids},Events that the contacts subscribed to be notified about.,,,,
DemandPlan,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,Inventory and planning,Supply and demand planning,   --------   
DemandPlan,startDate,String,Start date,2023-06-28,The date and time that the demand plan starts (ISO 8601).,date: time|timestamp,,,required fields: startDate
DemandPlan,product,Product,Product,(see object),Reference to product records for this Demand plan.,product: creation|prod,,,required fields: product.partNumber
DemandPlan,planParentType,String,Plan category,"PLAN, OPEN_ORDER, STERLING_PLAN",Type of parent plan used for categorization or filtering.,,,,required fields: planParentType
DemandPlan,location,Location,Location,(see object),Reference to location associated with the demand plan.,location: parcel,,,required fields: location.locationIdentifier
DemandPlan,duration,Float,Duration,1,Days represented in the supply plan quantity.,,,,required fields: duration
DemandPlan,additionalSortableNumValues,[UniqueNameNumberPair],Additional sortable num values,,,,,,
DemandPlan,additionalSortableStringValues,[UniqueNameStringPair],Additional sortable string values,,,,,,
DemandPlan,calculatedNumValue,Float,Calculated num value,,,,,,
DemandPlan,calculatedStringValue,String,Calculated string value,,,,,,
DemandPlan,class,String,Class,"NEW, OPEN_BOX",Sub-categorization of the plan used for categorization or filtering.,,,,
DemandPlan,confidence,Float,Confidence,0.99,A calculated entry. The value that indicates the source system confidence or accuracy.,,,,
DemandPlan,planType,String,Plan type,"PRODUCT, ITEM",The type of product in the plan used for categorization or filtering.,,,,
DemandPlan,planningCycle,String,Planning cycle,2021Q3,An indication of a plan cycle number or code which created the data.,,,,
DemandPlan,quantity,Float,Quantity,1200,Quantity of products or materials in the demand plan.,quantity: qty,,,
DemandPlan,quantityUnits,String,Quantity units,EA,Units of measure from the source system.  Standard UOM or ISO format.,quantity: qty,,,
DemandPlan,reference,String,Reference,0,Reference information that indicates the source or details of the plan.,,,,
DemandPlan,source,String,Source,IV,"Indication of the source system, which created the data.",,,,
DemandPlan,sourceLink,String,Source link,http://source-system.com/home.html,A direct link to the source of the data if available.,,,,
DemandPlan,validFrom,String,Valid from,2023-06-28T14:30:36+0000,The date and time that the demand plan is valid from (ISO 8601).,,,,
DemandPlan,validTo,String,Valid to,2023-06-28T14:30:36+0000,The date and time that the demand plan is valid to (ISO 8601).,,,,
Inventory,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,Inventory and planning,Supply and demand planning|Manufacturing|Inventory management|Inventory allocation,   --------   
Inventory,product,Product,Product,(see object),Reference to product records for this inventory.,product: creation|prod,,,required fields: product.partNumber
Inventory,location,Location,Location,(see object),Reference to location associated with the inventory.,location: parcel,,,required fields: location.locationIdentifier
Inventory,additionalSortableNumValues,[UniqueNameNumberPair],Additional sortable num values,,,,,,
Inventory,additionalSortableStringValues,[UniqueNameStringPair],Additional sortable string values,,,,,,
Inventory,archived,Boolean,Archived,Active,An indication of whether the inventory is active or not.,,,,
Inventory,autoPurchaseOrder,String,Auto purchase order,NO,Code indicating whether purchase orders are automatically generated for this product.,order: PO|sale|sold,,,
Inventory,calculatedNumValue,Float,Calculated num value,,,,,,
Inventory,calculatedStringValue,String,Calculated string value,,,,,,
Inventory,class,String,Class,"NEW, OPEN_BOX",Sub-categorization of the inventory used for categorization or filtering.,,,,
Inventory,costCenter,String,Cost center,L89A,Code or number of the cost center responsible for this product.,,,,
Inventory,costCenterDescription,String,Cost center description,Purchased products,Description of the cost center responsible for this product.,,,,
Inventory,criticalPartIndicator,String,Critical part indicator,YES,Code designating the criticality of the product at this location.,,,,
Inventory,daysOfSupply,Float,Days of supply,30,Expected lead time in days needed when orders are placed for the product or material.,,,,
Inventory,daysOfSupplyAboveUpperThreshold,Float,Days of supply above upper threshold,10,A calculated entry. The number of days of supply above the recorded upper limit for this location.,,,,
Inventory,daysOfSupplyBelowLowerThreshold,Float,Days of supply below lower threshold,10,A calculated entry. The number of days of supply below the recorded lower limit for this location.,,,,
Inventory,daysOfSupplyLowerThreshold,Float,Days of supply lower threshold,40,The wanted lower limit or boundary for the inventory days of supply.,,,,
Inventory,daysOfSupplyTarget,Float,Days of supply target,60,Optimal days of inventory supply wanted to have on hand for the product.,,,,
Inventory,daysOfSupplyUpperThreshold,Float,Days of supply upper threshold,60,The wanted upper limit or boundary for the inventory days of supply.,,,,
Inventory,expectedLeadTime,Float,Expected lead time,6,Expected lead time in days needed when orders are placed for the product or material.,time: date|timestamp,,,
Inventory,expiringThreshold,Float,Expiring threshold,10,Time in days past which a product or material is considered aged.,,,,
Inventory,fixedLotSize,Float,Fixed lot size,100,An indication that a fixed lot size can be purchased.,,,,
Inventory,futureStockoutCount,Int,Future stockout count,2,Count of the number of future stockouts known.,,,,
Inventory,futureStockouts,StockoutsCursor,Future stockouts,(see object),Reference to stockouts associated with the inventory.,,,,
Inventory,inventoryLots,InventoryLotsCursor,Inventory lots,(see object),Reference to inventory lots associated with the inventory.,,,,
Inventory,inventoryParentType,String,Inventory parent type,ONHAND,Type of parent plan used for categorization or filtering.,,,,
Inventory,inventoryType,String,Inventory type,"PRODUCT, ITEM",Type of product used for categorization or filtering.,,,,
Inventory,lotSizeProcedure,String,Lot size procedure,None,"Special instructions, which regard the lot size and handling of the product.",,,,
Inventory,minimumLotSize,Float,Minimum lot size,100,Indicates the minimum orderable lot size that can be purchased.,,,,
Inventory,nextStockOverageStartDate,DateTime,Next stock overage start date,2023-06-28T14:30:36+0000,The date and time when next overage is expected to begin (ISO 8601).,date: time|timestamp,,,
Inventory,nextStockUnderageStartDate,DateTime,Next stock underage start date,2023-06-28T14:30:36+0000,The date and time when next underage is expected to begin (ISO 8601).,date: time|timestamp,,,
Inventory,nextStockoutDuration,Float,Next stockout duration,3,The number of days the next stockout is expected to last.,,,,
Inventory,nextStockoutEndDate,DateTime,Next stockout end date,2023-06-28T14:30:36+0000,The date and time when next stockout is expected to end (ISO 8601).,date: time|timestamp,,,
Inventory,nextStockoutQuantity,Float,Next stockout quantity,44,Total lost sales quantity expected during the next stockout.,quantity: qty,,,
Inventory,nextStockoutRevenueRisk,Float,Next stockout revenue risk,5000,Total lost sales revenue expected during the next stockout.,,,,
Inventory,nextStockoutRevenueRiskCurrency,String,Next stockout revenue risk currency,USD,Currency designation in ISO 4217 format.,,,,
Inventory,nextStockoutStartDate,DateTime,Next stockout start date,2023-06-28T14:30:36+0000,The date and time when next stockout is expected to begin (ISO 8601).,date: time|timestamp,,,
Inventory,palletQuantity,Float,Pallet quantity,38016,Quantity of products in one pallet.,quantity: qty,,,
Inventory,plannerCode,String,Inventory planner code,123,Code indicating the owning planner of this product for categorization and filtering.,,,,
Inventory,purchasingGroup,String,Purchasing group,D77A2,Group or department code responsible for the inventory.,,,,
Inventory,quantity,Float,Quantity,100,Quantity of products or materials in the inventory.,quantity: qty,,,
Inventory,quantityAboveUpperThreshold,Float,Quantity above upper threshold,10,A calculated entry. The quantity of product above the recorded upper limit for this location.,quantity: qty,,,
Inventory,quantityBelowLowerThreshold,Float,Quantity below low threshold,10,A calculated entry. The quantity of product below the recorded lower limit for this location.,quantity: qty,,,
Inventory,quantityBlocked,Float,Quantity blocked,4,"Quantity of product, which is on hold.",quantity: qty,,,
Inventory,quantityLowerThreshold,Float,Low quantity threshold,150,Configured threshold below which the inventory quanity is considered low.,quantity: qty,,,
Inventory,quantityOnOrder,Float,Quantity on order,3,Total quantity of product on new orders in to this location.,quantity: qty; order: PO|sale|sold,,,
Inventory,quantityOnPurchaseRequisition,Float,Quantity on purchase requisition,22,Total quantity of product on open PO requisitions in to this location.,quantity: qty,,,
Inventory,quantityOnTransfer,Float,Quantity on transfer,23,Total quantity of product on transfer orders to and from this location.,quantity: qty,,,
Inventory,quantityOnTransferIn,Float,Quantity on transfer in,22,Quantity of product on transfer orders in to this location.,quantity: qty,,,
Inventory,quantityOnTransferOut,Float,Quantity on transfer out,5,Quantity of product on transfer orders out of this location.,quantity: qty,,,
Inventory,quantityTarget,Float,Quantity target,100,Optimal quantity wanted to have on-hand for the product.,quantity: qty,,,
Inventory,quantityUnits,String,Quantity units,EA,Units of measure from the source system.  Standard UOM or ISO format.,quantity: qty,,,
Inventory,quantityUpperThreshold,Float,Quantity upper threshold,200,The wanted upper limit or boundary for the inventory quantity.,quantity: qty,,,
Inventory,reorderLevel,Float,Reorder level,160,Quantity of available inventory below which a reorder is needed.,,,,
Inventory,reservationOrders,Float,Reservation for orders,20,Quantity of inventory reserved for orders.,,,,
Inventory,reservationPickup,Float,Reservation for pick up,3,Quantity of inventory that is reserved for pick up.,,,,
Inventory,reservationShip,Float,Reservation for ship,4,Quantity of inventory reserved for shipments.,ship: shipped,,,
Inventory,safetyStock,Float,Safety stock,100,Quantity wanted to keep on hand to accommodate for demand spikes.,,,,
Inventory,segment,String,Segment,UNSEGMENTED,Sub categorization of the inventory used for categorization or filtering.,,,,
Inventory,shelfLife,Float,Shelf life,90,The shelf life of the product or material in days.,,,,
Inventory,specialProcurementKey,String,Special procurement key,See blue book,Special instructions that regard the procurement of the product.,,,,
Inventory,status,String,Status,Active,"Status of the inventory on hand. For example, Active.",,,,
Inventory,turns,Float,Turns,10,The cost of goods sold divided by the average inventory for the same period.,,,,
Inventory,value,Float,Value,1229,Value or price of the product or material in inventory.,,,,
Inventory,valueCurrency,String,Value currency,USD,Currency designation in ISO 4217 format.,,,,
Inventory,velocityCode,String,Velocity code,456,The code indicating the category of sales volume expected for the product.,,,,
Inventory,weight,Float,Weight,0.05,Gross weight of the items in inventory.,,,,
InventoryLot,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,Inventory and planning,Inventory management,   --------   
InventoryLot,segment,String,Segment,UNSEGMENTED,Sub categorization of the inventory lot used for categorization or filtering.,,,,required fields: segment
InventoryLot,product,Product,Product,(see object),Reference to product record for this inventory lot.,product: creation|prod,,,required fields: product.partNumber
InventoryLot,lotCode,String,Lot code,239845720,Lot or serial code.,,,,required fields: lotCode
InventoryLot,location,Location,Location,(see object),Reference to location associated with the inventory lot.,location: parcel,,,required fields: location.locationIdentifier
InventoryLot,inventoryParentType,String,Inventory parent type,ONHAND,Type of parent plan used for categorization or filtering.,,,,required fields: inventoryParentType
InventoryLot,additionalSortableNumValues,[UniqueNameNumberPair],Additional sortable num values,,,,,,
InventoryLot,additionalSortableStringValues,[UniqueNameStringPair],Additional sortable string values,,,,,,
InventoryLot,approachingExpirationDate,DateTime,Approaching expiration date,2023-06-28T14:30:36+0000,A calculated entry. The date and time when the lot will be within the expiration window (ISO 8601).,date: time|timestamp,,,
InventoryLot,calculatedNumValue,Float,Calculated num value,,,,,,
InventoryLot,calculatedStringValue,String,Calculated string value,,,,,,
InventoryLot,class,String,Class,"NEW, OPEN_BOX",Sub-categorization of the inventory lot used for categorization or filtering.,,,,
InventoryLot,expirationDate,DateTime,Expiration date,2023-06-28T14:30:36+0000,Manufacturer-applied date the lot will expire (ISO 8601).,date: time|timestamp,,,
InventoryLot,inventory,Inventory,Inventory,(see object),Reference to inventory associated with the inventory lot.,,,,
InventoryLot,inventoryType,String,Inventory type,"PRODUCT, ITEM",The type of product used for categorization or filtering.,,,,
InventoryLot,productLot,ProductLot,Product lot,(see object),Reference to product lot associated with the inventory lot.,product: creation|prod,,,
InventoryLot,quantity,Float,Quantity,12,Quantity of products or materials in the inventory lot.,quantity: qty,,,
InventoryLot,quantityAvailable,Float,Quantity available,12,Quantity of product in this inventory lot that is not reserved or otherwise unfit for sale.,quantity: qty,,,
InventoryLot,quantityDelta,Float,Quantity delta,2,A change in the inventory's quantity.,quantity: qty,,,
InventoryLot,quantityUnits,String,Quantity units,EA,Units of measure from the source system.  Standard UOM or ISO format.,quantity: qty,,,
InventoryLot,sourceLink,String,Source link,http://source-system.com/home.html,A direct link to the source of the data if available.,,,,
InventoryLot,status,String,Status,Partial Reserve,"Status of the inventory lot. For example, Partial Reserve.",,,,
InventoryLot,storageDate,String,Storage date,2023-06-28T14:30:36+0000,The date and time the lot was put into inventory (ISO 8601).,date: time|timestamp,,,
InventoryLot,storageLocation,Location,Storage location,(see object),Reference to the specific location of the inventory lot.,location: parcel,,,
InventoryLot,value,Float,Value,1229,Value or price of the product or material in the inventory lot.,,,,
InventoryLot,valueCurrency,String,Value currency,USD,Currency designation in ISO 4217 format.,,,,
InventoryPlan,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,Inventory and planning,Supply and demand planning|Inventory management,   --------   
InventoryPlan,startDate,String,Start date,2023-06-28,The date and time that the supply plan starts (ISO 8601).,date: time|timestamp,,,required fields: startDate
InventoryPlan,product,Product,Product,(see object),Reference to product records for this inventory plan.,product: creation|prod,,,required fields: product.partNumber
InventoryPlan,planParentType,String,Plan parent type,"PLAN, INTRANSIT, PO_PLACED",Type of parent plan used for categorization or filtering.,,,,required fields: planParentType
InventoryPlan,location,Location,Location,(see object),Reference to location associated with the inventory plan.,location: parcel,,,required fields: location.locationIdentifier
InventoryPlan,duration,Float,Duration,1,Days represented in the supply plan quantity.,,,,required fields: duration
InventoryPlan,additionalSortableNumValues,[UniqueNameNumberPair],Additional sortable num values,,,,,,
InventoryPlan,additionalSortableStringValues,[UniqueNameStringPair],Additional sortable string values,,,,,,
InventoryPlan,calculatedNumValue,Float,Calculated num value,,,,,,
InventoryPlan,calculatedStringValue,String,Calculated string value,,,,,,
InventoryPlan,class,String,Class,"NEW, OPEN_BOX",Sub-categorization of the plan used for categorization or filtering.,,,,
InventoryPlan,confidence,Float,Confidence,0.99,A calculated entry. The value that indicates the source system confidence or accuracy.,,,,
InventoryPlan,planType,String,Plan type,"PRODUCT, ITEM",The type of product in the plan used for categorization or filtering.,,,,
InventoryPlan,planningCycle,String,Planning cycle,2021Q3,"An indication of a planning cycle number or code, which created the data.",,,,
InventoryPlan,quantity,Float,Quantity,1200,Quantity of products or materials in the inventory plan.,quantity: qty,,,
InventoryPlan,quantityUnits,String,Quantity units,EA,Units of measure from the source system.  Standard UOM or ISO format.,quantity: qty,,,
InventoryPlan,reference,String,Reference,IV,Reference information that indicates the source or details of the plan.,,,,
InventoryPlan,source,String,Source,IV,"Indication of the source system, which created the data.",,,,
InventoryPlan,sourceLink,String,Source link,http://source-system.com/home.html,A direct link to the source of the data if available.,,,,
InventoryPlan,validFrom,String,Valid from,2023-06-28T14:30:36+0000,The date and time that the supply plan is valid from (ISO 8601).,,,,
InventoryPlan,validTo,String,Valid to,2023-06-28T14:30:36+0000,The date and time that the supply plan is valid to (ISO 8601).,,,,
SupplyPlan,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,Inventory and planning,Supply and demand planning,   --------   
SupplyPlan,startDate,String,Start date,2023-06-28,The date and time that the supply plan starts (ISO 8601).,date: time|timestamp,,,required fields: startDate
SupplyPlan,product,Product,Product,(see object),Reference to product records for this supply plan.,product: creation|prod,,,required fields: product.partNumber
SupplyPlan,planParentType,String,Plan category,"PLAN, INTRANSIT, PO_PLACED",Type of parent plan used for categorization or filtering.,,,,required fields: planParentType
SupplyPlan,location,Location,Location,(see object),Reference to location associated with the supply plan.,location: parcel,,,required fields: location.locationIdentifier
SupplyPlan,duration,Float,Duration,1,Days represented in the supply plan quantity.,,,,required fields: duration
SupplyPlan,additionalSortableNumValues,[UniqueNameNumberPair],Additional sortable num values,,,,,,
SupplyPlan,additionalSortableStringValues,[UniqueNameStringPair],Additional sortable string values,,,,,,
SupplyPlan,calculatedNumValue,Float,Calculated num value,,,,,,
SupplyPlan,calculatedStringValue,String,Calculated string value,,,,,,
SupplyPlan,class,String,Class,"NEW, OPEN_BOX",Sub-categorization of the plan used for categorization or filtering.,,,,
SupplyPlan,pcfComplianceRecord,ComplianceRecord,Pcf compliance record,(see object),Reference to the product carbon footprint associated with the supply.,,,,
SupplyPlan,planType,String,Plan type,"PRODUCT, ITEM",The type of product in the plan used for categorization or filtering.,,,,
SupplyPlan,planningCycle,String,Planning cycle,2021Q3,"An indication of a planning cycle number or code, which created the data.",,,,
SupplyPlan,quantity,Float,Quantity,1200,Quantity of products or materials in the supply plan.,quantity: qty,,,
SupplyPlan,quantityUnits,String,Quantity units,EA,Units of measure from the source system.  Standard UOM or ISO format.,quantity: qty,,,
SupplyPlan,reference,String,Reference,IV,Reference information that indicates the source or details of the plan.,,,,
SupplyPlan,source,String,Source,IV,"Indication of the source system, which created the data.",,,,
SupplyPlan,sourceLink,String,Source link,http://source-system.com/home.html,A direct link to the source of the data if available.,,,,
